Full Description,Link to Our Revolution,Initiative,Suggested Vote,Link,State
marijuana Yes on Issue 7 Medical Cannabis Statute \n Arkansas,https://ourrevolution.com/ballot-initiatives/arkansas-issue-7,Medical Cannabis Statute,Yes on Issue 7,https://ourrevolution.com/ballot-initiatives/arkansas-issue-7,Arkansas
minimum-wage Yes on Initiative 1433 Washington Minimum Wage Increase \n Washington,https://ourrevolution.com/ballot-initiatives/washington-initiative-1433,Washington Minimum Wage Increase,Yes on Initiative 1433,https://ourrevolution.com/ballot-initiatives/washington-initiative-1433,Washington
marijuana Yes on Proposition 64 Adult Use of Marijuana Act \n California,https://ourrevolution.com/ballot-initiatives/california-prop-64,Adult Use of Marijuana Act,Yes on Proposition 64,https://ourrevolution.com/ballot-initiatives/california-prop-64,California
death-penalty No on Proposition 66 Death Penalty Procedures Initiative \n California,https://ourrevolution.com/ballot-initiatives/california-prop-66,Death Penalty Procedures Initiative,No on Proposition 66,https://ourrevolution.com/ballot-initiatives/california-prop-66,California
education Yes on Proposition 58 Non-English Languages Allowed in Public Education Act \n California,https://ourrevolution.com/ballot-initiatives/california-prop-58,Non-English Languages Allowed in Public Education Act,Yes on Proposition 58,https://ourrevolution.com/ballot-initiatives/california-prop-58,California
environment Yes on Proposition 67 Plastic Bag Ban Veto Referendum \n California,https://ourrevolution.com/ballot-initiatives/california-prop-67,Plastic Bag Ban Veto Referendum,Yes on Proposition 67,https://ourrevolution.com/ballot-initiatives/california-prop-67,California
marijuana Yes on Amendment 2 Medical Marijuana Legalization Initiative \n Florida,https://ourrevolution.com/ballot-initiatives/florida-amendment-2,Medical Marijuana Legalization Initiative,Yes on Amendment 2,https://ourrevolution.com/ballot-initiatives/florida-amendment-2,Florida
education No on Amendment 2 Authorize College Boards to Establish Tuition and Fees \n Louisiana,https://ourrevolution.com/ballot-initiatives/louisiana-amendment-2,Authorize College Boards to Establish Tuition and Fees,No on Amendment 2,https://ourrevolution.com/ballot-initiatives/louisiana-amendment-2,Louisiana
election-reform Yes on Measure 1 Voter Registration Amendment \n Alaska,https://ourrevolution.com/ballot-initiatives/alaska-measure-1,Voter Registration Amendment,Yes on Measure 1,https://ourrevolution.com/ballot-initiatives/alaska-measure-1,Alaska
health-care Yes on Proposition 61 Drug Price Standards \n California,https://ourrevolution.com/ballot-initiatives/california-prop-61,Drug Price Standards,Yes on Proposition 61,https://ourrevolution.com/ballot-initiatives/california-prop-61,California
money-in-politics Yes on Proposition 59 Overturn of Citizens United Act \n California,https://ourrevolution.com/ballot-initiatives/california-prop-59,Overturn of Citizens United Act,Yes on Proposition 59,https://ourrevolution.com/ballot-initiatives/california-prop-59,California
death-penalty Yes on Proposition 62 Repeal of the Death Penalty Initiative \n California,https://ourrevolution.com/ballot-initiatives/california-prop-62,Repeal of the Death Penalty Initiative,Yes on Proposition 62,https://ourrevolution.com/ballot-initiatives/california-prop-62,California
health-care Yes on Amendment 69 ColoradoCare \n Colorado,https://ourrevolution.com/ballot-initiatives/colorado-amendment-69,ColoradoCare,Yes on Amendment 69,https://ourrevolution.com/ballot-initiatives/colorado-amendment-69,Colorado
money-in-politics Yes on A Howard County Citizens' Election Fund \n Maryland,https://ourrevolution.com/ballot-initiatives/maryland-citizens-election-fund,Howard County Citizens' Election Fund,Yes on A,https://ourrevolution.com/ballot-initiatives/maryland-citizens-election-fund,Maryland
marijuana Yes on Question 1 Maine Marijuana Legalization Measure \n Maine,https://ourrevolution.com/ballot-initiatives/maine-question-1,Maine Marijuana Legalization Measure,Yes on Question 1,https://ourrevolution.com/ballot-initiatives/maine-question-1,Maine
minimum-wage Yes on Question 4 Maine Minimum Wage Increase \n Maine,https://ourrevolution.com/ballot-initiatives/maine-question-4,Maine Minimum Wage Increase,Yes on Question 4,https://ourrevolution.com/ballot-initiatives/maine-question-4,Maine
