Candidate Name,State,District,Position,Website,Twitter Url,Facebook URL,Party Affiliation,Photo URL,Bernie Endorsed? Yes or No,Link_link
Carmen Yulin Cruz,Puerto Rico,Puerto Rico San Juan,Mayor,http://www.carmenyulin.com/,https://twitter.com/carmenyulincruz,https://www.facebook.com/carmenyulincruz/,Popular Democratic Party,https://i.imgur.com/HeCemFo.jpg,No,https://ourrevolution.com/candidates/carmen-yulin-cruz
Carol Ammons,Illinois,Illinois 103,State Representative,http://www.carolammons.com,https://twitter.com/carolammons4il,https://www.facebook.com/carolammons4IL/,Democratic,https://i.imgur.com/3QlmAqd.jpg,Yes,https://ourrevolution.com/candidates/carol-ammons
Charles Pelkey,Wyoming,Wyoming 45,State Representative,http://pelkeyforhouse.com/,https://twitter.com/charles_pelkey,https://www.facebook.com/PelkeyForHouse/,Democratic,https://i.imgur.com/mQYG6Xn.jpg,No,https://ourrevolution.com/candidates/charles-pelkey
Chase Iron Eyes,North Dakota,Statewide,US Representative,http://www.ironeyesforcongress.com,https://twitter.com/chaseironeyes,https://www.facebook.com/IronEyesForCongress/,Democratic,https://i.imgur.com/XJoJeJS.jpg,Yes,https://ourrevolution.com/candidates/chase-iron-eyes
Chris Rabb,Pennsylvania,Pennsylvania 200,State Representative,http://www.chrisrabb.com,https://twitter.com/ChrisRabb200,https://www.facebook.com/chrisrabbserves/,Democratic,https://i.imgur.com/F1bI8A1.jpg,No,https://ourrevolution.com/candidates/chris-rabb
Chris Schwartz,Iowa,Iowa Black Hawk County,Board of Supervisors,http://schwartzforsupervisor.com,https://twitter.com/schwartz2020,https://www.facebook.com/VoteChrisSchwartz,Democratic,https://i.imgur.com/p7mAmFf.jpg,No,https://ourrevolution.com/candidates/chris-schwartz
Clara Hart,South Dakota,South Dakota 6,State Senate,http://www.hart4house.com,https://twitter.com/clarahart14,https://www.facebook.com/Hart4House/?fref=ts,Democratic,https://i.imgur.com/3qDAXnf.jpg,Yes,https://ourrevolution.com/candidates/clara-hart
Dan Quick,Nebraska,Nebraska 35,State Senate,http://www.votedanquick.com,,https://www.facebook.com/votedanquick/,Independent,https://i.imgur.com/2AplY02.jpg,No,https://ourrevolution.com/candidates/dan-quick
David Bowen,Wisconsin,Wisconsin 10,State Representative,,https://twitter.com/DavidFBowen,https://www.facebook.com/Bowen4Action/,Democratic,https://i.imgur.com/Nh52TuJ.jpg,Yes,https://ourrevolution.com/candidates/david-bowen
David Zuckerman,Vermont,Statewide,Lieutenant Governor,http://www.zuckermanforvt.com,https://twitter.com/DaveZuckermanVT,https://www.facebook.com/davezuckermanvt/,Vermont Progressive,https://i.imgur.com/bvYppX2.jpg,Yes,https://ourrevolution.com/candidates/david-zuckerman
Dean Preston,California,San Francisco District 5,Board of Supervisors,http://votedean.com/,https://twitter.com/deanpreston,https://www.facebook.com/votedeanpreston,Independent,https://i.imgur.com/x34OA5h.jpg,No,https://ourrevolution.com/candidates/dean-preston
Deborah Ross,North Carolina,Statewide,US Senate,https://www.deborahross.com/,https://twitter.com/DeborahRossNC,https://www.facebook.com/RossForNorthCarolina,Democratic,https://i.imgur.com/rK4r47w.jpg,Yes,https://ourrevolution.com/candidates/deborah-ross
Devon Reese,Nevada,Nevada 15,State Senate,http://www.reesefornevada.com/,https://twitter.com/DevonReese1,https://www.facebook.com/reese4nevada/,Democratic,https://i.imgur.com/vX4qHYE.jpg,No,https://ourrevolution.com/candidates/devon-reese
Dwight Bullard,Florida,Florida 40,State Senate,http://www.bullard4florida.com/,https://twitter.com/dwightbullard,https://www.facebook.com/DBullardFL/,Democratic,https://i.imgur.com/NAdskdo.jpg,No,https://ourrevolution.com/candidates/dwight-bullard
Elizabeth Thomson,New Mexico,New Mexico 24,State Representative,http://www.lizthomson.org/,https://twitter.com/lizthomsonnm,https://www.facebook.com/Elizabeth-Thomson-for-NM-House-24-261180410637092/,Democratic,https://i.imgur.com/iTLzLsF.jpg,No,https://ourrevolution.com/candidates/elizabeth-thomson
Eloise Reyes,California,California 47,State Representative,http://reyesforassembly.com/,https://twitter.com/reyes4assembly,https://www.facebook.com/ReyesforAssembly/,Democratic,https://i.imgur.com/yGRpxz2.jpg,Yes,https://ourrevolution.com/candidates/eloise-reyes
Erin Maye Quade,Minnesota,Minnesota 57A,State Representative,,,,,,,https://ourrevolution.com/candidates/erin-quade
Eva Bermudez,Connecticut,Connecticut 106,State Representative,,,,,,,https://ourrevolution.com/candidates/eva-bermudez
Gabriel Costilla,Kansas,Kansas 16,State Senate,,,,,,,https://ourrevolution.com/candidates/gabriel-costilla
Gary Kroeger,Iowa,Iowa 60,State Representative,,,,,,,https://ourrevolution.com/candidates/gary-kroeger
Greg Jones,Alaska,Alaska 8,State Representative,,https://twitter.com/teamgijonesak,https://www.facebook.com/GIJonesforHouse/,Democratic,https://static1.squarespace.com/static/54bee0c9e4b0441ce96c4681/t/576c280dff7c50b7fcb678dd/1466705967139/,,https://ourrevolution.com/candidates/greg-jones
Ilhan Omar,Minnesota,Minnesota 60B,State Representative,,,,,,,https://ourrevolution.com/candidates/ilhan-omar
Irvin Camacho,Arkansas,Arkansas 89,State Representative,,,,,,,https://ourrevolution.com/candidates/irvin-camacho
"Ismael ""Ish"" Ahmed",Michigan,Michigan,Board of Education,,,,,,,https://ourrevolution.com/candidates/ismael-ahmed
James Eldridge,Massachusetts,Massachusetts Middlesex and Worcester,State Senate,,,,,,,https://ourrevolution.com/candidates/james-eldridge
Jamie Raskin,Maryland,Maryland 8,US Representative,,,,,,,https://ourrevolution.com/candidates/jamie-raskin
Jane Kim,California,California 11,State Senate,,,,,,Yes,https://ourrevolution.com/candidates/jane-kim
Jared Cates,Texas,Texas Precinct 3 in Nacogdoches County,County Commissioner,,,,,,,https://ourrevolution.com/candidates/jared-cates
Jason Ritchie,Washington,Washington 5,State Representative,,,,,,,https://ourrevolution.com/candidates/jason-ritchie
Jeanine Calkin,Rhode Island,Rhode Island 30,State Senate,,,,,,,https://ourrevolution.com/candidates/jeanine-calkin
Jesse Arreguin,California,Berkeley,Mayor,,,,,,,https://ourrevolution.com/candidates/jesse-arreguin
Jonathan Brostoff,Wisconsin,Wisconsin 19,State Representative,http://votebrostoff.com/,,,,,,https://ourrevolution.com/candidates/jonathan-brostoff
Joseph Salazar,Colorado,Colorado 31,State Representative,,,,,,Yes,https://ourrevolution.com/candidates/joseph-salazar
Josh Elliott,Connecticut,Connecticut 88,State Representative,,,,,,,https://ourrevolution.com/candidates/josh-elliott
Juan Mendez,Arizona,Arizona 26,State Senate,http://www.mendezforaz.com,twitter.com/mendezforaz,https://www.facebook.com/mendez.juan,Democratic,,,https://ourrevolution.com/candidates/juan-mendez
Julie Nitsch,Texas,Texas Austin Community College,Board of Trustees Place 9,,,,,,,https://ourrevolution.com/candidates/julie-nitsch
Justin Bamberg,South Carolina,South Carolina 90,State Senate,http://bambergforsc.com/,,,,,Yes,https://ourrevolution.com/candidates/justin-bamberg
Justin Wayne,Nebraska,Nebraska 13,State Senate,,,,,,,https://ourrevolution.com/candidates/justin-wayne
Kai Degner,Virginia,Virginia 6,US Representative,,,,,,,https://ourrevolution.com/candidates/kai-degner
Kaniela Ing,Hawaii,Hawaii 11,State Representative,,,,,,,https://ourrevolution.com/candidates/kaniela-ing
Kari Boiter,Montana,Montana 44,State Representative,,,,,,,https://ourrevolution.com/candidates/kari-boiter
Keith Ellison,Minnesota,Minnesota 5,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/keith-ellison
Ken Gucker,Connecticut,Connecticut 24,State Senate,,,,,,,https://ourrevolution.com/candidates/ken-gucker
Larry Scherer,Nebraska,Nebraska 21,State Senate,,,,,,,https://ourrevolution.com/candidates/larry-scherer
Lorenzo Arredondo,Indiana,Statewide,Attorney General,,,,,,,https://ourrevolution.com/candidates/lorenzo-arredondo
Luis Vega Ramos,Puerto Rico,Puerto Rico At Large,Representative,,,,,,,https://ourrevolution.com/candidates/luis-ramos
Manuel Natal,Puerto Rico,Puerto Rico At Large,Representative,,,,,,,https://ourrevolution.com/candidates/manuel-natal
Marcia Ranglin-Vassell,Rhode Island,Rhode Island 5,State Representative,,,,,,,https://ourrevolution.com/candidates/marcia-ranglin-vassell
Marcy Kaptur,Ohio,Ohio 9,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/marcy-kaptur
Mari Cordes,Vermont,Vermont 4,State Representative,,,,,,Yes,https://ourrevolution.com/candidates/mari-cordes
Mark King,New Hampshire,New Hampshire Hillsborough 33,State Representative,,,,,,,https://ourrevolution.com/candidates/mark-king
Mark Mackenzie,New Hampshire,New Hampshire Hillsborough 17,State Representative,,,,,,,https://ourrevolution.com/candidates/mark-mackenzie
Martin Quezada,Arizona,Arizona 29,State Senate,,,,,,,https://ourrevolution.com/candidates/martin-quezada
Mary Jane Lundgren,Connecticut,Connecticut 67,State Representative,,,,,,,https://ourrevolution.com/candidates/mary-lundgren
Mary Keefe,Massachusetts,Massachusetts House 15th Worcester District,State Representative,,,,,,,https://ourrevolution.com/candidates/mary-keefe
Melvin Willis,California,Richmond,City Council,,,,,,,https://ourrevolution.com/candidates/melvin-willis
Michael Tubbs,California,Stockton,Mayor,,,,,,,https://ourrevolution.com/candidates/michael-tubbs
Mike Connolly,Massachusetts,Massachusetts 26th Middlesex District,State Representative,,,,,,,https://ourrevolution.com/candidates/mike-connolly
Miranda Gold,Idaho,Idaho 14,State Senate,,,,,,,https://ourrevolution.com/candidates/miranda-gold
Misty Snow,Utah,Statewide,US Senate,http://www.mistyksnow.com/,,,,,Yes,https://ourrevolution.com/candidates/misty-snow
Morgan Carroll,Colorado,Colorado 6,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/morgan-carroll
Nanette Barragan,California,California 44,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/nanette-barragan
Nathan Morguelan,Kentucky,Bowling Green,City Commisioner,,,,,,,https://ourrevolution.com/candidates/nathan-morguelan
Nicole Cannizzaro,Nevada,Nevada 6,State Senate,,,,,,,https://ourrevolution.com/candidates/nicole-cannizzaro
Noel Frame,Washington,Washington 36,State Representative,,,,,,,https://ourrevolution.com/candidates/noel-frame
Owen Carver,Nevada,Nevada 2,State Representative,,,,,,,https://ourrevolution.com/candidates/owen-carver
Pat Jehlen,Massachusetts,Massachusetts 2nd Middlesex,State Senate,,,,,,,https://ourrevolution.com/candidates/pat-jehlen
Patricia Faye-Brazel,Alaska,Alaska 10,State Representative,http://www.patriciaforhouse.com/#faye,,https://www.facebook.com/Patricia-Faye-Brazel-for-State-House-694206594066746/,,https://static1.squarespace.com/static/573e6da68259b5f9e4509aab/t/57e5bde3cd0f68ae05e1d23d/1474674158951/Patriciabridge,,https://ourrevolution.com/candidates/patricia-faye-brazel
Paul Clements,Michigan,Michigan 6,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/paul-clements
Peter Jacob,New Jersey,New Jersey 7,US Representative,,,,,,,https://ourrevolution.com/candidates/peter-jacob
Pramila Jayapal,Washington,Washington 7,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/pramila-jayapal
Raul Grijalva,Arizona,Arizona 3,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/raul-grijalva
Rick Nolan,Minnesota,Minnesota 8,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/rick-nolan
Robert Cushing,New Hampshire,New Hampshire Rockingham 21,State Representative,,,,,,,https://ourrevolution.com/candidates/robert-cushing
Robert Founds,Oklahoma,Oklahoma 25,State Senate,,,,,,,https://ourrevolution.com/candidates/robert-founds
Robyn Porter,Connecticut,Connecticut 94,State Representative,,,,,,,https://ourrevolution.com/candidates/robyn-porter
Rochelle Pardue-Okimoto,California,El Cerrito,City Council,,,,,,,https://ourrevolution.com/candidates/rochelle-okimoto
Rudy Martinez,New Mexico,New Mexico 39,State Representative,http://rudymartineznm.com/,,https://www.facebook.com/Rudy4NM/,Democratic,,,https://ourrevolution.com/candidates/rudy-martinez
Russ Feingold,Wisconsin,Statewide,US Senate,http://russfeingold.com/,,,,,Yes,https://ourrevolution.com/candidates/russ-feingold
Sabrina Shrader,West Virginia,West Virginia 27,State Representative,,,,,,,https://ourrevolution.com/candidates/sabrina-shrader
Sara Niccoli,New York,New York 46,State Senate,,,,,,,https://ourrevolution.com/candidates/sara-niccoli
Sarah Lloyd,Wisconsin,Wisconsin 6,US Representative,http://lloydforwisconsin.com/,,,,,,https://ourrevolution.com/candidates/sarah-lloyd
Teresa Meyer,Iowa,Iowa 63,State Representative,,,,,,,https://ourrevolution.com/candidates/teresa-meyer
Terry Alexander,South Carolina,South Carolina 59,State Senate,https://alexanderforschouse.wordpress.com/,,,,,Yes,https://ourrevolution.com/candidates/terry-alexander
Thomas Nelson,Wisconsin,Wisconsin 8,US Representative,https://nelsonforwisconsin.com/,,,,,Yes,https://ourrevolution.com/candidates/thomas-nelson
Tim Ashe,Vermont,Vermont Chittenden,State Senate,,,,,,Yes,https://ourrevolution.com/candidates/tim-ashe
Tim Kacena,Iowa,Iowa 14,State Representative,,,,,,,https://ourrevolution.com/candidates/tim-kacena
Troy Jackson,Maine,Maine 1,State Senate,,,,,,,https://ourrevolution.com/candidates/troy-jackson
Tulsi Gabbard,Hawaii,Hawaii 2,US Representative,http://gabbard.house.gov/,,,,,Yes,https://ourrevolution.com/candidates/tulsi-gabbard
Vernon Miller,Nebraska,Nebraska,School Board,,,,,,,https://ourrevolution.com/candidates/vernon-miller
Victoria Leigh,Arkansas,Arkansa 38,State Representative,,,,,,,https://ourrevolution.com/candidates/victoria-leigh
Vincent Fort,Georgia,Georgia 39,State Senate,,,,,,,https://ourrevolution.com/candidates/vincent-fort
Wenona Benally,Arizona,Arizona 7,State Representative,,,,,,,https://ourrevolution.com/candidates/wenona-benally
Zach Dorholt,Minnesota,Minnesota 14B,State Representative,,,,,,,https://ourrevolution.com/candidates/zach-dorholt
Zephyr Teachout,New York,New York 19,US Representative,,,,,,Yes,https://ourrevolution.com/candidates/zephyr-teachout
